TCS-0023	Learning growing-size DNFs under uniform inputs	Mathematics and Computation (2018 draft)
TCS-2980	Unfortunately, we do not know how to identify the simplices of SX , but we do know that they belong to the collection of all […]	An Efficient Minimax Optimal Estimator For Multivariate Convex Regression
TCS-3017	We leave open an interesting question posed also in [12]: is it possible to test for uniformity in the scarce regime, and if so – […]	Comparison Graphs: A Unified Method for Uniformity Testing
TCS-3109	We leave the tight characterization of k-cover time for irreducible chains as an open problem, but we conjecture the lower bound to be tight.	Learning and Testing Irreducible Markov Chains via the $k$-Cover Time
TCS-3110	We conjecture that the lower bound on n∗ (s, b, d) is tight, and the non-interactive schemes can be further improved.	Breaking The Dimension Dependence in Sparse Distribution Estimation under Communication Constraints
TCS-3111	Moreover, the query complexity question remains open for a number of other robust losses, such as the Huber loss and the Tukey loss.	Query complexity of least absolute deviation regression via robust uniform convergence
TCS-3112	We leave the possibility of achieving such a bound as an open problem.	Impossible Tuning Made Possible: A New Expert Algorithm and Its Applications
TCS-3113	Whether hypothesis classes of finite VC dimension exist which are not improperly CPAC learnable in the agnostic case remains an open question.	Open Problem: Are all VC-classes CPAC learnable?
TCS-3114	Thus, the case that remains open concerns uncountable X and general (random) sequences X.	Open Problem: Is There an Online Learning Algorithm That Learns Whenever Online Learning Is Possible?
TCS-3116	One of the most obvious problems that we leave open is to close the gap between the bounds in Theorems 5 and 6.	Exponential Weights Algorithms for Selective Learning
TCS-3117	Any learner that tries to learn x ∈ {0, 1}n from a stream of samples of the form (a, b), where a ∈ {0, 1}n […]	Memory-Sample Lower Bounds for Learning Parity with Noise
TCS-3127	5 Extensions and open problems We conclude with some generalizations of the algorithms presented and the lower bounds obtained, and with comments on some of […]	Efficient Splitting of Necklaces
TCS-3137	The challenge is that despite Ki being simple (i.e., having few faces), we do not know how to sample uniformly and efficiently from V ∩ […]	On Undecided LP, Clustering and Active Learning
TCS-3143	Finally we remark that we get the stronger computationally efficient guarantee for the spectral norm error (as for the Frobenius norm error) if we can […]	Adversarially Robust Low Dimensional Representations
TCS-3144	One point which remains open for future research is the fact that, unless we use ERM and we deal with losses like the squared error […]	PAC-Bayes, MAC-Bayes and Conditional Mutual Information: Fast rate bounds that handle general VC classes
TCS-3145	In other words, we conjecture that the use of stochastic local search (positive temperature local MCMC methods) would be necessary for success at rates close […]	Group testing and local search: is there a computational-statistical gap?
TCS-3167	Although we made progress in this paper, it still remains open for families of bounded VC-dimension.	Sunflowers in Set Systems of Bounded Dimension
TCS-3169	We conjecture that our lower bound is in fact optimal in both smoothness regimes.	Thinking Inside the Ball: Near-Optimal Minimization of the Maximal Loss
TCS-3170	As far as we know, our lower bound does not prohibit such a method and this possibility remains open.	Black-Box Control for Linear Dynamical Systems
TCS-3172	It is an open question whether this measure of complexity can be made even sharper in some settings.	Towards a Dimension-Free Understanding of Adaptive Linear Control
TCS-3177	In other words, does polynomial time learnability of NP/poly imply polynomial time learnability of PH/poly?	On the Structure of Learnability Beyond P/Poly
TCS-3221	For instance, is it possible to prove running time lower bounds that grow with the depth of the network?	Tight Hardness Results for Training Depth-2 ReLU Networks
TCS-3277	We conjecture that if |E| = O(n), a constant approximation for our objectives is not possible (assuming standard complexity theoretic conjectures) if we must separate […]	Intervention Efficient Algorithms for Approximate Learning of Causal Graphs
TCS-3278	We expect that m = Ω(k log n) dependence is required for the class of functions considered in this paper, but proving this is an […]	Subspace Embeddings under Nonlinear Transformations
TCS-3279	However we do not know how to generalize the above and below theorems for Gaussian instances from the square loss to a larger class of […]	A case where a spindly two-layer linear network decisively outperforms any neural network with a fully connected input layer
TCS-3290	We leave it as an open problem to determine whether a class that is easonline learnable w.r.t. any distribution is also strongly eas-online learnbale. (Note […]	Non-uniform Consistency of Online Learning with Random Sampling
TCS-3296	With that said, we conjecture that this term is actually non-negative, at least in a close	The Effects of Mild Over-parameterization on the Optimization Landscape of Shallow ReLU Neural Networks
TCS-3303	What characterization can be given for the minimum dimension of a translational embedding of a dag?	What relations are reliably embeddable in Euclidean space?
TCS-3306	What is the smallest possible value of |Xσ|∞ that can be achieved algorithmically in polynomial time?	Balancing Gaussian vectors in high dimension
TCS-3310	In other words, given any set X ∈ R2 , can you always find a triangle T with vertices in X so that X is […]	Costly Zero Order Oracles
TCS-3388	Finding the strongest notion of optimality attainable in general environments is an open problem (Hutter, 2009a).	Pessimism About Unknown Unknowns Inspires Conservatism
TCS-3390	The natural questions are, if we expend more rounds, can we reduce the sample complexity?	Locally Private Hypothesis Selection
TCS-3391	However, it is still unknown whether it is possible to learn a mixture of well-separated Gaussians in polynomial time with polynomial sample complexity.	The EM Algorithm gives Sample-Optimality for Learning Mixtures of Well-Separated Gaussians
TCS-3427	Although they concern causal learning problems that involve only categorical variables, we conjecture that they can be generalized to cover some other causal learning problems, […]	On Learning Causal Structures from Non-Experimental Data without Any Faithfulness Assumption
TCS-3428	While we can currently show that there is at least one such eigenvalue, we do not know if the matrix M τ has rank at […]	Learning Polynomials in Few Relevant Dimensions
TCS-3429	We conjecture that the optimal complexity of monotone inclusion is: (i) Θ( LD 1 L LD ) when the operator is either L-Lipschitz or L […]	Halpern Iteration for Near-Optimal and Parameter-Free Monotone Inclusion and Strong Solutions to Variational Inequalities
TCS-3430	From a theoretical point of view, a fundamental question remains open – what is the minimal computational complexity of any algorithm that can achieve the […]	Information Theoretic Optimal Learning of Gaussian Graphical Models
